Formula,Peso Molecular,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds,IC50
C53H72N10O7S,992.5306156439999,6.073500000000008,2,13,174.78,11,55.0
C51H67N9O7S,949.488416484,6.3893000000000075,2,12,171.54,9,550.0
C53H63F3N6O9,984.4608622560002,6.554400000000006,2,12,162.78999999999996,10,55.0
C50H67N9O7S,937.488416484,6.386100000000008,2,12,171.54,11,55.0
C50H66N8O7S,922.477517452,5.799700000000007,2,13,160.46,11,
C50H65N9O8S,951.46768104,5.376500000000007,2,13,180.77,9,55.0
C53H68F3N9O8,1015.5142947960001,5.9515000000000065,2,13,184.68,10,
C52H66N6O8,902.4942130720001,6.019900000000006,3,11,164.55999999999997,10,550.0
C52H72N10O7S,980.5306156439999,5.929400000000008,2,13,174.78,11,55.0
C51H70N10O7S,966.51496558,5.539300000000008,2,13,174.78,12,55.0
C48H60F3N9O7S,963.42885092,6.149900000000006,2,12,171.54000000000002,10,
C50H67N9O7S,937.488416484,6.386100000000008,2,12,171.54,11,55.0
C49H65N9O8S,939.46768104,5.581600000000007,2,13,180.77,11,550.0
C50H65N9O8S,951.46768104,5.376500000000007,2,13,180.77,9,550.0
C53H76N8O7,936.5836967719999,5.986200000000008,2,12,150.80999999999997,11,55.0
C50H68N8O7,892.521096516,5.1431000000000076,2,11,158.65,10,550.0
C57H75N9O7,997.5789457399999,6.452700000000008,2,11,161.88999999999996,9,550.0
C50H65N9O7S,935.47276642,6.140100000000007,2,12,171.54,9,550.0
C51H67N9O7S,949.488416484,6.3893000000000075,2,12,171.54,9,55.0
C51H70N10O7,934.54289458,4.717700000000009,2,14,178.28,11,55.0
C51H68N8O7S,936.493167516,6.045700000000006,2,13,160.46,11,
C50H69FN8O8,928.522239388,5.131500000000008,2,12,167.88000000000002,10,55.0
C47H62F3N7O8,909.4611966040001,5.359800000000005,2,12,156.79999999999998,11,550.0
C53H67F3N8O7,984.5084811439999,6.526600000000006,2,12,160.46,11,55.0
C49H58F4N6O7,918.4303110760001,7.113100000000007,2,10,144.32999999999998,11,550.0
C56H77FN8O8,1008.584839644,6.180000000000009,2,13,167.88000000000002,11,55.0
C56H71F3N8O7,1024.539781272,6.963500000000008,2,11,158.65,10,
C49H65N9O7S,923.47276642,5.997600000000007,2,12,171.54,10,550.0
C53H72N10O7S,992.5306156439999,6.071900000000008,2,13,174.78,11,550.0
C53H72N10O7S,992.5306156439999,6.071900000000008,2,13,174.78,11,55.0
C49H63N9O7S,921.4571163559999,5.444800000000007,2,12,171.54,9,550.0
C48H62FN9O7S,927.447694544,5.904700000000007,2,12,171.54,10,550.0
C57H72N8O8,996.547311264,6.045700000000008,2,12,167.87999999999997,9,55.0
C50H65N9O7S,935.47276642,6.140100000000007,2,12,171.54,9,55.0
C50H65N9O8S,951.46768104,5.725700000000008,2,13,180.77,9,
C49H63N9O7S,921.4571163559999,5.750000000000007,2,12,171.54,9,55.0
C49H63N9O7S,921.4571163559999,5.750000000000007,2,12,171.54,9,55.0
C49H65N9O7S,923.47276642,5.9960000000000075,2,12,171.54,11,550.0
C49H65N9O7S,923.47276642,5.9960000000000075,2,12,171.54,11,550.0
C54H67N7O8,941.5051121039999,6.2943800000000065,3,11,186.54,11,550.0
C50H63N7O8,889.473811976,5.408100000000005,3,11,175.64000000000001,10,5500.0
C52H66N6O8,902.494213072,6.574100000000007,3,10,162.75,10,550.0
C49H60N6O7,844.4523482599999,5.866700000000006,3,9,153.52,8,
C52H65FN6O8,920.48479126,6.194700000000006,3,10,162.75,11,
C53H67N7O8,929.5051121039999,5.703300000000006,3,11,165.99,9,
C48H59N7O7,845.447597228,5.261700000000005,3,10,166.41000000000003,8,
C52H65N7O8,915.4894620399999,5.695300000000007,3,11,165.99,8,
C52H65FN6O8,920.4847912600001,6.194700000000006,3,10,162.75,11,
C52H66N8O8,930.5003610719999,5.096700000000006,3,12,178.88000000000002,10,
C47H58N8O7,846.4428461959999,4.656700000000004,3,11,179.3,8,
C49H58N8O7,870.4428461959999,5.133380000000005,3,11,190.20000000000002,8,
C51H68N6O8,892.5098631359999,6.173700000000006,3,10,162.75,10,5500.0
C50H60N8O7,884.45849626,5.500480000000005,3,11,190.19999999999996,8,5500.0
C51H65N7O8,903.4894620399999,5.969100000000006,3,11,175.64000000000001,10,550.0
C51H65N7O8,903.4894620399999,5.969100000000006,3,11,175.64000000000001,10,550.0
C49H61N7O7,859.4632472919999,5.5701200000000055,3,10,166.41000000000003,8,5500.0
C53H68N6O9,932.504777756,6.064200000000008,3,11,171.98,12,
C50H62FN7O8,907.464390164,5.5472000000000055,3,11,175.64000000000001,10,550.0
C50H63N7O8,889.473811976,5.4081000000000055,3,11,175.64000000000001,10,5500.0
C50H63N7O8,889.473811976,5.4081000000000055,3,11,175.64000000000001,10,
C49H62N8O8,890.4690609439999,4.803100000000005,3,12,188.53,10,
C50H60N8O7,884.45849626,5.500480000000006,3,11,190.19999999999996,8,5500.0
C53H70N8O8,946.5316611999999,5.339900000000008,3,12,178.88000000000002,12,550.0
C53H69N9O7,943.5319955479998,5.013500000000008,3,12,172.89000000000004,9,5500.0
C51H65N7O8,903.48946204,5.450600000000006,3,11,175.64,11,
C52H66N8O8,930.5003610719999,5.096700000000006,3,12,178.88000000000002,10,5500.0
C51H62N8O8,914.4690609439999,5.279780000000005,3,12,199.43,10,550.0
C47H60N8O7,848.45849626,4.6002000000000045,3,11,171.34,8,
C51H65N7O7,887.49454742,6.263500000000007,2,10,155.41,10,5500.0
C49H62N8O7,874.474146324,5.0975000000000055,2,11,168.29999999999998,10,
C46H57N7O7S,851.404018164,5.323200000000004,3,11,166.41000000000003,8,
C50H60N8O7,884.45849626,5.500480000000005,3,11,190.19999999999996,8,550.0
C51H65N7O8,903.4894620399999,5.6093000000000055,3,11,175.52,9,
C50H60N6O7,856.45234826,6.713600000000007,3,10,163.17000000000002,9,
C51H67N7O8,905.5051121039999,6.444500000000006,3,12,177.33,11,5500.0
C53H68N6O8,916.5098631359999,6.8825200000000075,3,10,162.75,10,550.0
C49H62N8O7S,906.446217324,5.557300000000007,2,12,168.29999999999998,9,5500.0
C43H55N9O7S2,873.3665871,4.168300000000005,2,13,189.02999999999997,9,
C46H58N8O7S,866.414917196,4.711800000000005,2,11,176.14,9,
C46H58N8O8S,882.409831816,4.417400000000004,3,12,196.37,9,
C52H67N7O8,917.5051121039999,6.359200000000007,3,11,175.64000000000001,11,550.0
C49H58N8O7,870.442846196,5.326380000000005,3,11,190.2,8,5500.0
C47H61N9O7S,895.4414662920001,5.1150000000000055,2,13,181.19000000000003,10,
C51H64N8O7S,932.461867388,4.767200000000006,2,12,158.64999999999998,8,
C53H67N7O8,929.5051121039999,6.359200000000007,3,11,175.64000000000001,11,550.0
C51H65N7O8,903.48946204,5.1493000000000055,4,12,184.42999999999998,12,
C51H65N7O8,903.48946204,5.1493000000000055,4,12,184.42999999999998,12,
C51H64N6O7,872.4836483879999,6.483540000000007,3,9,153.52,8,
C51H62N6O8,886.462912944,5.896900000000006,3,10,162.75,8,
C48H66N8O8,882.500361072,4.088300000000007,2,12,167.88000000000002,10,
C48H60N8O8,876.45341088,4.801700000000004,3,12,188.53,9,
C47H58N8O8,862.4377608159999,4.0812000000000035,3,12,188.01,9,
C47H61N9O7S,895.4414662920001,5.1150000000000055,2,13,181.19000000000003,10,
C52H62N8O8,926.4690609439999,6.767900000000007,4,12,197.31999999999996,11,5500.0
C51H66N8O8,918.5003610719999,5.858200000000006,3,11,178.88000000000002,9,550.0
C52H65N7O8,915.4894620399999,5.895400000000007,3,11,175.64000000000001,9,550.0
C48H62N8O7S,894.4462173240001,5.720000000000006,2,12,168.29999999999998,10,5500.0
C48H62N8O8,878.469060944,5.251500000000005,2,12,181.44000000000003,10,
C52H65N7O8,915.4894620399999,6.113200000000006,3,11,175.64000000000001,9,550.0
C43H54N10O6S,838.394850448,3.8026000000000035,2,13,184.85000000000002,8,
C56H74N8O7,970.568046708,6.421100000000008,2,11,158.65,10,5500.0
C50H63N7O9S,937.440797596,5.483800000000006,3,12,192.70999999999995,10,550.0
C52H67N7O9S,965.4720977239999,6.2640000000000065,3,12,192.70999999999995,10,550.0
C51H66N8O8,918.5003610719999,5.5445000000000055,3,12,180.57000000000002,9,550.0
C50H66N8O8,906.5003610719999,5.307600000000006,3,12,180.57000000000002,10,
C48H62N8O7S,894.4462173239999,5.389200000000004,3,12,169.65,9,
C48H62N8O7S,894.4462173239999,5.389200000000004,3,12,169.65,9,
C51H60N8O7,896.45849626,5.410080000000004,2,11,179.2,8,
C49H67BrN8O8,974.426523204,5.0227000000000075,2,12,167.88000000000002,10,
C48H64N10O7,892.4959443880001,4.392000000000007,2,13,186.12000000000003,10,550.0
C54H71N7O7,929.5414976120001,6.589200000000007,2,11,147.56999999999996,11,
C56H75N9O7,985.5789457399999,6.015300000000009,2,12,161.89000000000001,11,5500.0
C50H67N9O6,889.521430864,4.956200000000007,2,11,154.35000000000002,10,
C48H62N8O7S,894.4462173240001,5.720000000000007,2,12,168.29999999999998,10,5500.0
C48H62N8O8,878.469060944,5.251500000000005,2,12,181.44000000000003,10,
C51H62F3N7O7,941.466281984,6.805900000000007,2,10,155.41,10,5500.0
C51H66N8O8,918.5003610719999,5.5445000000000055,3,12,180.57000000000002,9,550.0
C51H63F2N7O7,923.4757037960001,6.508700000000006,2,10,155.41,11,5500.0
C51H66N8O8,918.5003610719999,5.858200000000006,3,11,178.88000000000002,9,550.0
C56H74N8O7,970.568046708,6.421100000000008,2,11,158.65,10,5500.0
C48H62N8O7S,894.4462173240001,5.720000000000006,2,12,168.29999999999998,10,5500.0
C52H65F2N7O7,937.4913538600001,7.201100000000007,2,10,155.41,11,5500.0
C51H64FN7O7,905.485125608,6.402600000000007,2,10,155.41,10,5500.0
C51H65F3N8O7S,990.46490208,6.588100000000007,2,13,160.46,11,5500.0
C49H59F3N6O7,900.439732888,6.974000000000007,2,10,144.32999999999998,11,5500.0
C50H62F2N6O7,896.4648047640002,7.369200000000008,2,10,144.32999999999996,12,
C55H71N7O7,941.5414976120001,6.733300000000007,2,11,147.56999999999996,11,
C50H64N6O7S,892.455719388,7.851300000000009,2,12,161.81999999999996,12,5500.0
C54H67F4N7O7,1001.503810364,7.270700000000008,2,11,147.57,11,
C49H67N9O6S,909.4935018639999,5.835100000000008,2,13,154.47,12,550.0
C51H71N9O7S,953.5197166119999,5.586100000000009,3,14,174.69999999999996,13,550.0
C57H72N8O8,996.547311264,6.045700000000008,2,12,167.87999999999997,9,5500.0
C50H65N9O8S,951.46768104,5.378100000000008,2,13,180.77,9,5500.0
C51H67N9O8S,965.483331104,5.768200000000008,2,13,180.77,9,550.0
C51H67N9O8S,965.483331104,5.768200000000008,2,13,180.77,9,550.0
C45H58N8O7S,854.414917196,5.923300000000006,2,12,168.29999999999998,9,
C48H63N9O7S,909.4571163559999,5.655400000000006,3,12,180.33,11,550.0
C57H72F5N9O7,1089.547486744,7.495300000000007,2,12,161.89000000000001,12,550.0
C51H63N7O8,901.473811976,5.744000000000006,2,11,164.63999999999996,9,5500.0
C49H65N9O7S,923.47276642,5.997600000000007,2,12,171.54,10,5500.0
C49H65N9O7S,923.47276642,5.997600000000007,2,12,171.54,10,550.0
C51H70N10O7S,966.51496558,5.539300000000008,2,13,174.78,12,550.0
C51H64N8O7S,932.461867388,5.697800000000005,2,13,160.46,10,
C49H59F3N8O7S,960.4179518880001,5.850100000000006,2,13,160.46,10,5500.0
C52H67N9O6S,945.4935018639999,5.6146000000000065,2,13,154.47,8,5500.0
C58H76N8O6,980.5887821519999,7.182700000000008,2,11,141.57999999999996,9,5500.0
C50H64N8O7S,920.461867388,5.697800000000006,2,13,160.46,10,5500.0
C51H67N9O7S,949.488416484,6.3893000000000075,2,12,171.54,9,55.0
C49H65N9O7S,923.47276642,5.855100000000007,2,12,171.54,11,55.0
C49H65N9O7S,923.47276642,5.997600000000007,2,12,171.54,11,550.0
C58H71F5N8O7,1086.536587712,8.045200000000008,2,11,158.65,11,5500.0
C51H63N7O8,901.473811976,5.744000000000006,2,11,164.63999999999996,9,
C52H62F5N7O7,991.463088424,7.743500000000008,2,10,155.41,11,5500.0
C52H67N7O7,901.510197484,6.652000000000007,2,10,155.41,10,5500.0
C55H68F5N7O7,1033.510038616,8.06920000000001,2,11,147.57,12,
C52H71F3N8O8,992.534695892,5.517400000000007,2,13,160.04,11,
C54H68F3N7O7,983.513232176,7.131600000000008,2,11,147.57,11,
C52H74N8O8,938.562961328,4.975000000000009,2,13,160.04,11,
C49H68N8O8,896.516011136,4.649300000000007,2,12,167.88000000000002,10,
C54H74N10O6S,990.5513510879999,5.746700000000009,2,14,157.71,12,550.0
C48H59F3N8O7S,948.4179518880001,5.706000000000005,2,13,160.46,10,5500.0
C50H64N8O7S,920.461867388,5.697800000000006,2,13,160.46,10,5500.0
C50H67N9O7S,937.488416484,6.387700000000008,2,12,171.54,10,55.0
C50H67N9O7S,937.488416484,6.387700000000008,2,12,171.54,10,55.0
C49H65N9O7S,923.47276642,5.997600000000007,2,12,171.54,10,550.0
C50H67N9O7S,937.488416484,6.386100000000008,2,12,171.54,9,55.0
C50H67N9O7S,937.488416484,6.386100000000008,2,12,171.54,9,55.0
C50H67N9O7S,937.488416484,6.386100000000008,2,12,171.54,9,55.0
C50H67N9O7S,937.488416484,6.386100000000008,2,12,171.54,9,
C50H65N9O7S,935.47276642,5.855100000000007,2,12,171.54,9,55.0
C49H65N9O7S,923.47276642,5.997600000000007,2,12,171.54,11,5500.0
C59H78N8O7,1010.599346836,7.201300000000009,2,11,158.65,10,5500.0
C55H72N8O7,956.5523966439999,6.292500000000008,2,11,158.65,11,5500.0
C49H63N9O7S,921.4571163559999,5.751600000000007,2,12,171.54,9,550.0
C51H67N9O7S,949.488416484,6.3893000000000075,2,12,171.54,9,550.0
C54H70FN7O7,947.5320758,6.728300000000008,2,11,147.56999999999996,11,
C49H63N9O7S,921.4571163559999,5.751600000000007,2,12,171.54,9,55.0
C49H65N9O7S,923.47276642,5.997600000000007,2,12,171.54,10,550.0
C50H65N9O7S,935.47276642,6.141700000000007,2,12,171.54,9,55.0
C48H62N8O7S,894.446217324,5.163600000000006,2,13,160.46,10,
C50H64N8O7,888.489796388,5.658500000000006,2,11,168.29999999999998,10,5500.0
C47H61N9O8,879.4643099120001,4.646500000000007,2,13,194.33,10,
C55H72N8O7,956.5523966439999,6.251400000000008,2,11,158.65,10,5500.0
C48H63N9O7S,909.4571163559999,5.607500000000007,2,12,171.54,10,550.0
C48H62N8O8,878.469060944,5.251500000000005,2,12,181.44000000000003,10,
C52H69N9O7S,963.504066548,5.707900000000008,2,13,171.54,10,5500.0
C51H63N9O7,913.485045356,6.400800000000006,3,12,182.01999999999995,11,5500.0
C51H63N9O7,913.485045356,6.400800000000006,3,12,182.01999999999995,11,5500.0
C53H67N7O8,929.5051121040001,5.890000000000007,2,11,164.64000000000001,11,5500.0
C55H75N9O7,973.5789457399999,6.331700000000008,2,12,163.58,11,
C50H68N8O7,892.521096516,5.580600000000007,2,11,158.65,10,
C48H63N9O7S,909.4571163559999,5.609100000000007,2,12,171.54,9,55.0
C48H63N9O7S,909.4571163559999,5.609100000000007,2,12,171.54,9,55.0
C48H63N9O7S,909.4571163559999,5.609100000000007,2,12,171.54,9,55.0
C51H63N7O7,885.4788973560001,6.017500000000006,2,10,155.41,8,5500.0
C49H62N8O7S,906.446217324,6.008200000000007,2,12,168.29999999999998,8,5500.0
C52H65N7O7,899.49454742,6.5517000000000065,2,10,155.41,8,5500.0
C52H67N7O7,901.510197484,6.571920000000006,2,10,155.41,10,5500.0
C48H59F3N8O7S,948.4179518880001,6.262400000000006,2,12,168.3,10,550.0
C52H66FN7O7,919.500775672,6.733000000000006,2,10,155.41,11,5500.0
C52H66FN7O7,919.500775672,6.733000000000006,2,10,155.41,11,5500.0
C52H66FN7O7,919.500775672,6.733000000000006,2,10,155.41,11,5500.0
C49H68N8O8,896.516011136,4.649300000000007,2,12,167.88000000000002,10,
C54H72N8O7,944.5523966439999,6.325100000000008,2,11,158.65,12,5500.0
C53H65N7O7,911.49454742,6.266900000000006,2,10,155.41,10,5500.0
C57H74N8O7,982.568046708,6.565200000000008,2,11,158.64999999999995,9,5500.0
C54H72N8O8,960.5473112639999,6.030700000000007,3,12,178.88000000000002,12,550.0
C53H65F3N8O8,998.4877457,6.464000000000007,2,11,167.88,9,550.0
C54H73N9O7,959.5632956759999,6.0844000000000085,2,11,161.88999999999996,12,550.0
C53H64F5N9O8,1049.4798011080002,6.795000000000007,2,12,180.77,10,5500.0
C55H68F5N9O8,1077.511101236,7.576800000000008,2,12,180.77,10,550.0
C62H82F4N10O7,1154.630407844,7.1975000000000104,2,13,165.13000000000002,11,55.0
C50H65N9O8S,951.46768104,5.376500000000007,2,13,180.77,9,550.0
C50H65N9O8S,951.46768104,5.376500000000007,2,13,180.77,9,550.0
C51H68N10O8S,980.494230136,5.553300000000006,2,14,193.66,9,550.0
C49H63N9O7S,921.4571163559999,5.750000000000007,2,12,171.54,9,550.0
C49H63N9O7S,921.4571163559999,5.750000000000007,2,12,171.54,9,5500.0
C51H67N9O7S,949.488416484,6.531800000000008,2,12,171.54,9,550.0
C57H72N8O8,996.547311264,5.555600000000008,2,12,167.87999999999997,8,5500.0
C56H80FN9O8,1025.61138874,5.6792000000000105,2,13,171.12000000000003,10,5500.0
C57H72N8O8,996.547311264,5.555600000000008,2,12,167.87999999999997,8,5500.0
C52H73N9O8,951.5582102960001,5.02360000000001,2,12,171.11999999999998,9,5500.0
C55H75N9O7,973.5789457399999,6.472900000000009,2,11,161.88999999999996,12,5500.0
C55H72N8O7,956.5523966439999,7.322900000000008,2,10,158.64999999999995,9,550.0
C57H74F3N9O7,1053.5663303679999,7.407000000000008,2,11,161.89000000000001,11,550.0
C54H67F3N8O7,996.5084811440001,6.327400000000009,2,11,158.65,10,
C52H63F2N7O8,951.4706184160002,6.681600000000007,2,11,164.63999999999996,10,5500.0
C54H70N8O8,958.5316612,5.675800000000008,2,12,167.87999999999997,11,5500.0
C57H72N8O9,1012.542225884,5.282100000000009,2,13,177.10999999999999,9,5500.0
C58H74N8O8,1010.562961328,5.945700000000008,2,12,167.87999999999997,9,5500.0
C49H63N9O7S,921.4571163559999,5.607500000000007,2,12,171.54,9,5500.0
C51H71N9O9,953.5374748520001,4.30580000000001,2,13,180.35,9,
C53H75N9O9,981.56877498,5.087600000000011,2,13,180.35,9,5500.0
C59H74N8O9,1038.557875948,5.324600000000009,2,13,177.10999999999993,9,
C59H74N8O9,1038.557875948,5.324600000000009,2,13,177.10999999999993,9,5500.0
C59H74N8O9,1038.557875948,5.324600000000009,2,13,177.10999999999993,9,5500.0
C59H74N8O9,1038.557875948,5.324600000000009,2,13,177.10999999999993,9,
C57H72N8O8,996.547311264,5.555600000000008,2,12,167.87999999999997,8,
C55H75N9O7,973.5789457399999,6.472900000000009,2,11,161.88999999999996,12,550.0
C51H63F4N9O8S,1037.445643856,6.258600000000007,2,13,180.77,10,550.0
C51H62F5N9O8S,1055.436222044,6.554200000000007,2,13,180.77,10,550.0
C53H69F3N10O8S,1062.497264828,5.850700000000007,2,14,184.01000000000002,11,550.0
C50H62F3N9O9,989.4622592240001,5.450400000000005,2,13,193.91,9,5500.0
C50H64F3N11O8,1003.489142668,4.590900000000006,2,14,198.59,9,550.0
C49H61F3N10O9,990.4575081920001,4.845400000000005,2,14,206.8,9,
C54H71F4N11O7,1061.547406492,5.574200000000007,2,14,189.36,10,55.0
C54H69F4N9O8,1047.520523048,6.433700000000007,2,13,184.68,10,550.0
C49H61F3N8O9,962.4513601920002,4.8624000000000045,2,14,182.82999999999998,11,
C51H67N9O8S,965.483331104,5.766600000000008,2,13,180.77,9,550.0
C51H67N9O8S,965.483331104,5.766600000000008,2,13,180.77,9,550.0
C50H68N10O7S,952.4993155159999,5.198700000000008,3,13,183.57000000000002,12,550.0
C50H67N9O7S,937.488416484,6.243600000000008,2,12,171.54,10,550.0
C55H73N7O7,943.557147676,6.979300000000007,2,11,147.56999999999996,11,
C55H73N7O7,943.557147676,6.979300000000007,2,11,147.56999999999996,11,
C51H67N9O7S,949.488416484,6.530200000000008,2,12,171.54,9,550.0
C55H72FN7O7,961.547725864,7.058700000000007,2,11,147.56999999999996,12,
C50H67N9O7S,937.488416484,6.243600000000008,2,12,171.54,10,5500.0
C55H69F4N7O7,1015.519460428,7.601100000000009,2,11,147.57,12,
C50H64F3N9O7S,991.4601510480001,5.983100000000006,2,14,173.35,11,
C56H78FN9O7,1007.600824056,5.7829000000000095,2,12,161.89000000000001,10,550.0
C57H72N8O8,996.547311264,5.555600000000008,2,12,167.87999999999997,8,
C51H64F3N9O8S,1019.455065668,6.310600000000007,2,13,180.77,9,550.0
C51H64F3N9O8S,1019.455065668,6.310600000000007,2,13,180.77,9,55.0
C52H64F3N9O8,999.4829946680001,5.8574000000000055,2,12,180.77,9,550.0
C51H67N9O8S,965.483331104,5.766600000000008,2,13,180.77,9,55.0
C52H67N9O8,945.511260104,5.3150000000000075,2,12,180.77,9,550.0
C52H70N10O7S,978.51496558,5.683400000000008,2,13,174.78,11,55.0
C56H75N7O7,957.5727977399999,7.367800000000008,2,11,147.56999999999996,12,
C50H62N8O7,886.474146324,6.955200000000007,3,12,170.93999999999997,12,5500.0
C53H67F3N8O7,984.5084811440001,7.530900000000009,2,11,150.81,11,5500.0
C52H65F4N9O7S,1035.4663793,7.271400000000008,2,12,171.54000000000002,10,55.0
C50H62F3N9O7S,989.444500984,6.541600000000006,2,12,171.54000000000002,9,55.0
C50H62F3N9O8S,1005.439415604,5.920500000000006,2,13,180.77,9,550.0
C56H70F4N8O8,1058.52527408,7.713700000000008,2,11,167.88,10,550.0
C52H68F3N11O8,1031.520442796,5.372700000000006,2,14,198.59,9,550.0
C54H68F3N9O8,1027.514294796,6.639200000000007,2,12,180.77,9,550.0
C55H69F3N8O8,1026.519045828,7.244200000000008,2,11,167.88,9,550.0
C51H67N9O8S,965.483331104,5.766600000000008,2,13,180.77,9,55.0
C53H68N8O8,944.516011136,5.920000000000007,2,11,167.87999999999997,9,550.0
C54H72N10O8S,1020.5255302639999,5.454000000000009,2,14,184.01000000000002,11,55.0
C49H65N11O7,919.5068434200001,4.4236000000000075,2,13,189.36000000000004,9,55.0
C56H73N7O7,955.557147676,7.1218000000000075,2,11,147.56999999999996,12,
C55H77N9O8,991.589510424,4.95100000000001,2,13,171.11999999999998,9,
C56H80FN9O7,1009.6164741199999,6.30030000000001,2,12,161.89000000000001,10,
C56H80FN9O7,1009.6164741199999,6.30030000000001,2,12,161.89000000000001,10,
C56H79N9O7,989.610245868,5.962200000000009,2,12,161.89000000000001,10,
C51H67N9O7S,949.488416484,6.387700000000008,2,12,171.54,9,550.0
C51H67N9O7S,949.488416484,6.387700000000008,2,12,171.54,9,550.0
C49H63N9O8S,937.4520309760001,5.3356000000000074,2,13,180.77,9,550.0
C52H71N9O7S,965.5197166119999,7.025400000000008,2,12,171.54,12,55.0
C52H68FN9O7S,981.4946447359999,6.729000000000007,2,12,171.54,10,550.0
C56H74N10O7,998.5741947079999,5.847700000000008,2,12,174.78,9,5500.0
C55H74N10O7S,1018.546265708,6.155200000000009,2,13,174.78,9,550.0
C55H74N10O7S,1018.546265708,6.155200000000009,2,13,174.78,9,550.0
C48H61FN8O7S,912.436795512,5.1116000000000055,2,13,160.46,10,5500.0
C48H61FN8O7S,912.436795512,5.1116000000000055,2,13,160.46,10,
C55H74F3N9O8,1045.561244988,5.493400000000007,2,13,171.12,9,
C51H71N9O6S,937.524801992,6.472800000000008,2,13,154.47,13,55.0
C51H70N10O7S,966.51496558,5.540900000000009,2,13,174.78,12,550.0
C49H64FN9O7S,941.4633446079999,5.945600000000007,2,12,171.54,10,550.0
C49H64FN9O7S,941.4633446079999,5.945600000000007,2,12,171.54,10,550.0
C50H67N9O7S,937.488416484,6.386100000000008,2,12,171.54,10,55.0
C50H67N9O7S,937.488416484,6.386100000000008,2,12,171.54,10,550.0
C53H71N9O7S,977.5197166119999,7.169500000000008,2,12,171.54,9,550.0
C51H65N9O7,915.5006954199999,5.690100000000006,2,11,171.54,9,550.0
C49H64N8O7S,908.461867388,5.5521000000000065,2,13,160.46,10,
C49H64N8O7S,908.461867388,5.5521000000000065,2,13,160.46,10,5500.0
C50H60F3N7O7,927.45063192,6.559900000000007,2,10,155.41,10,5500.0
C51H62F3N7O7,941.466281984,6.805900000000007,2,10,155.41,10,5500.0
C51H62F3N7O7,941.466281984,6.805900000000007,2,10,155.41,10,5500.0
C55H74F3N9O8,1045.561244988,5.493400000000007,2,13,171.12,9,
C54H78N8O8,966.594261456,5.75520000000001,2,13,160.04,11,
C54H69N7O8,943.520762168,5.579600000000007,2,12,156.79999999999998,10,
C53H76FN9O8,985.5800886119999,5.063300000000011,2,13,171.12000000000003,12,
C53H76N8O7,936.5836967719999,5.55910000000001,2,12,150.80999999999997,11,
C55H78FN9O8,1011.595738676,5.28910000000001,2,13,171.12000000000003,10,5500.0
C54H69N7O8,943.520762168,5.927200000000007,2,12,156.79999999999998,10,
C51H68N8O8,920.516011136,5.577200000000007,2,13,173.6,11,
C54H74N10O7S,1006.546265708,6.321100000000008,2,13,174.78,11,550.0
C52H69N9O7S,963.504066548,6.779400000000008,2,12,171.54,9,550.0
C50H62N8O8,902.469060944,5.139000000000006,2,12,177.53,9,5500.0
C50H67N9O7S,937.488416484,6.245200000000008,2,12,171.54,11,550.0
C50H67N9O7S,937.488416484,6.245200000000008,2,12,171.54,11,550.0
C50H63N9O7S,933.4571163559999,5.588900000000007,2,12,171.54,8,55.0
C54H72N10O7S,1004.5306156439999,5.909200000000008,2,13,174.78,9,550.0
C55H73N7O8,959.552062296,5.951700000000007,3,12,167.79999999999998,13,
C57H75FN8O7,1002.5742749599999,6.890600000000008,2,11,158.65,11,5500.0
C52H63F4N7O7,973.4725102360001,7.275400000000007,2,10,155.41,11,550.0
C49H64N8O8S,924.456782008,4.788500000000006,2,14,169.68999999999997,11,5500.0
C50H65N9O7S,935.47276642,6.141700000000007,2,12,171.54,9,550.0
C50H65N9O7S,935.47276642,6.141700000000007,2,12,171.54,9,550.0
C53H74N8O7,934.568046708,5.468800000000009,2,12,150.80999999999997,11,
C53H69F3N10O7S,1046.5023502079998,6.615900000000006,2,13,174.78000000000003,11,55.0
C55H74N10O8S,1034.5411803279999,5.844100000000008,2,14,184.01000000000002,11,55.0
C55H74N10O8S,1034.5411803279999,5.883300000000009,2,14,184.01000000000002,9,
C50H65N9O7S,935.47276642,6.141700000000007,2,12,171.54,9,55.0
C51H68N10O7S,964.4993155159999,5.293300000000008,2,13,174.78,10,550.0
C56H76N10O8S,1048.556830392,6.091700000000009,2,14,184.01000000000002,11,55.0
C57H78N10O7S,1046.5775658359998,7.245400000000009,2,13,174.78,11,550.0
C52H69N9O7S,963.504066548,6.779400000000008,2,12,171.54,9,550.0
C57H75N9O7,997.5789457399999,6.452700000000008,2,11,161.88999999999996,9,550.0
C58H75FN8O7,1014.5742749599999,7.034700000000009,2,11,158.64999999999995,10,5500.0
C51H65F3N8O8,974.4877457000001,6.1196000000000055,2,13,173.6,11,
C51H68N8O8,920.516011136,5.577200000000007,2,13,173.6,11,
C51H67N9O8S,965.483331104,5.768200000000008,2,13,180.77,9,550.0
C51H67N9O8S,965.483331104,5.768200000000008,2,13,180.77,9,550.0
C51H67N9O7S,949.488416484,6.531800000000008,2,12,171.54,9,55.0
C50H62F3N9O7S,989.444500984,6.684100000000007,2,12,171.54000000000002,9,55.0
C54H70N8O7,942.53674658,6.9328000000000065,2,10,158.64999999999995,9,550.0
C52H69N9O8S,979.498981168,6.3634000000000075,2,13,180.77,10,550.0
